㔩	qop
㙐	njiuɛn
㟼	ngɑu
㣐	bhæng
㩳	siǒng
㫃	*qiu qo
㲚	shra
㴾	bhət
㸌	hok huɑk
㺄	iǒ
㺑	sɑu
䄍	jrhà
䆽	kèu
䍦	liɛ
䏑	jiɛk
䙰	liɛ
䣛	sit
䧺	qiòng
一	*qit qit
丁	*deng deng
七	*tsit tsit
丈	*djhiɑ̌ng djhiɑ̌ng
三	*sɑm sɑm
上	*zhiɑ̀ng zhiɑ̀ng zhiɑ̌ng
下	hà hǎ
不	*biət biət
且	*tsiǎ tsiǎ
丕	pyi
世	*shiɛì shiɛì
丘	*kiou kiou
丞	*zhiəng zhiəng
丠	kiou
並	bhěng
中	*djiùng djiung
丱	guàn
丸	huɑn
丹	*dɑn dɑn
主	*jiǒ jiǒ
乃	*nəǐ nəǐ
久	*gioǔ gioǔ
乆	gioǔ
么	qeu
之	*jiə jiə
乍	jrhà
乎	ho
乏	bhiæp
乖	guæi
乗	jhiəng
乘	jhiəng jhiə̀ng
乙	qyit
九	*gioǔ gioǔ
乞	kiət
也	iǎ
乳	njiǒ
乾	*ghyɛn ghyɛn gɑn
亂	*luɑ̀n luɑ̀n
了	*leǔ leǔ
予	*iu iu
事	*jrhiə̀ jrhiə̀
二	*njì njì
于	*hio hio
云	*hiuən hiuən
互	hò
五	*ngǒ ngǒ
井	*tsiɛ̌ng tsiɛ̌ng
亞	qà
亡	*miɑng miɑng
亢	kɑ̀ng
交	*gau gau
亥	həì
亦	*iɛk iɛk
京	giæng
亭	*dheng dheng
亮	liɑ̀ng
人	*njin njin
亾	miɑng
仁	njin
仄	*jriək jriək
仆	più
今	*gyim gyim
介	gæì
仍	*nə̌i njiəng
他	*tɑ tɑ
仗	djhiɑ̀ng djhiɑ̌ng
付	biò
仙	*siɛn siɛn
仝	dhung
仞	njìn
代	*dhəì dhəì
令	*liɛ̀ng liɛng
以	*iə̌ iə̌
仭	nhìn njìn
仰	*ngiɑ̌ng ngiɑ̌ng
仲	*djhiùng djhiùng
任	*njim njim
伊	*qi qi
伏	*bhiuk bhiuk
伐	*bhiæt bhiæt
休	*xiou xiou
伯	bæk
估	gǒ
伴	*bhɑ̌n bhɑ̌n
伶	leng
伸	*shin shin
伺	siə̀
似	*ziə̌ ziə̌
伽	ghia
但	dhɑ̀n
佇	djhiǔ
位	hyuɛ̀
低	*dei dei
住	*djhiò djhiò
何	*hɑ hɑ
佗	*tɑ tɑ
余	*iu iu
佛	bhiət
作	*tzɑk tzɑk
佩	*bhə̀i
佳	*gɛi gɛi
佺	tsiuɛn
使	*shriə̌ shriə̀ shriə̌
侃	kɑn
來	*ləi ləi
侍	*zhiə̀ zhiə̌
