㐁	442.07 444.28
㐄	310.04 424.03
㐆	066.03 279.38
㐭	328.25
㐱	275.10
㐲	380.30
㐸	446.22
㑁	474.39
㑃	416.56
㑉	459.08
㑗	103.09
㑙	542.50
㑛	450.30 462.26
㑜	378.15 379.25
㑞	432.45
㑟	317.11
㑥	347.37
㑦	374.26
㑮	116.25 119.36
㑳	078.30 436.33 543.57
㑵	470.25
㑻	489.43
㑿	300.41
㒄	292.25 295.16
㒅	269.52
㒇	261.19
㒈	445.50
㒊	533.23
㒋	048.03
㒌	193.21
㒓	483.26
㒔	449.28 462.04
㒚	282.39 397.13
㒝	479.12 495.09
㒟	296.38
㒠	385.36
㒥	027.10
㒨	136.45
㒰	140.13
㒳	310.36
㒴	480.15
㒸	350.41
㒹	134.48
㒼	126.59
㒽	143.27
㒾	347.40 349.02
㓃	368.16 422.24
㓄	441.24
㓊	343.13
㓖	471.11
㓘	459.03
㓚	029.09
㓠	335.46
㓢	505.29
㓣	543.10
㓤	488.15
㓨	347.27
㓪	314.41
㓱	214.27
㓳	087.55
㓷	379.33
㓹	376.04
㓺	115.49
㓻	180.15
㓼	254.21 470.32
㓽	025.20 344.15
㔂	393.01
㔄	463.41
㔆	331.07
㔊	291.18
㔋	231.18 337.20 442.42 445.37
㔌	215.24 440.19
㔍	491.02 500.57
㔎	472.36 496.43
㔏	521.24
㔒	092.39
㔓	280.29
㔗	360.33
㔙	184.46
㔝	310.43
㔞	095.14
㔠	490.34
㔡	495.29
㔢	498.28
㔣	097.15 389.22
㔥	271.03
㔩	536.24
㔪	265.22
㔮	161.07
㔯	141.15
㔴	527.15
㔶	330.15 342.13
㔸	090.33
㔹	529.25
㔻	057.46
㕆	265.35 267.33
㕇	536.02
㕈	274.42 388.38
㕊	079.15
㕋	219.20
㕎	538.08
㕒	049.37
㕗	323.44
㕙	107.51 395.12
㕚	300.23
㕛	321.11
㕞	500.05
㕟	385.48
㕢	387.23 390.19
㕣	293.29
㕦	423.33
㕧	355.30
㕬	034.13
㕭	154.37
㕮	261.06 262.18
㕯	482.16 488.52 498.49
㕰	467.34
㖃	325.17 327.07 440.13
㖅	474.13
㖏	494.32
㖑	385.23
㖒	087.59
㖘	101.26
㖟	437.16
㖥	276.25
㖩	079.27
㖪	514.52
㖷	045.23
㗁	507.05
㗉	501.36
㗊	533.41
㗔	142.45
㗕	215.05
㗗	241.21
㗘	508.36
㗙	543.56
㗚	470.07
㗢	033.37 343.23 344.26
㗤	457.15
㗦	155.41
㗧	470.16 496.14
㗨	094.03
㗩	533.16
㗫	491.37
㗬	169.28
㗱	532.15
㗲	513.30
㗴	130.01
㗵	476.37
㗻	162.09 163.50
㗼	545.19
㗾	164.23
㗿	304.50 308.35 422.04
㘀	506.16 509.46
㘁	517.33
㘆	274.46
㘈	358.36 528.63
㘉	474.57
㘋	102.31 134.04
㘌	510.42
㘍	470.40
㘓	123.22
㘙	511.33
㘝	533.66 543.54
㘠	527.58
㘣	136.10 141.17
㘥	205.15
㘨	542.15
㘰	217.37
㘱	224.33
㘲	455.12
㘻	101.46
㙀	436.14
㙁	459.17
㙄	270.17
㙇	463.48
㙊	174.19
㙏	458.03
㙙	238.01
㙠	373.26
㙤	422.01
㙨	065.08
㙩	145.38 414.39
㙪	354.21 373.35
㙱	417.04
㙲	345.05
㙴	444.17
㙷	532.36 539.31
㙻	139.02
㚀	044.45
㚁	414.49
㚂	428.34
㚃	110.31
㚅	027.24
㚇	032.06 342.40
㚊	099.04
㚋	144.45
㚍	272.54
㚒	334.46 517.48
㚔	539.41
㚖	303.05 518.08
㚗	169.46
