㐁	10019.020:tiàn
㐆	10038.080:yǐn
㐌	10036.020:yí
㐖	10053.130:xié
㐤	10263.070:dān,qiú
㐨	10055.060:xù
㐩	10023.010:xíng
㐲	10113.010:dài
㐳	10113.030:wù
㐸	10125.020:qiàn,cì
㐺	10124.030:yín,zhòng
㐻	10122.010:nèi
㑉	10151.010:sù
㑊	10152.030:yì
㑋	10147.110:qióng
㑌	10143.120:wāng,kuāng
㑍	10149.010:lèi
㑎	10155.010:nǎo
㑐	10147.050:shū
㑗	10163.040:shēn
㑙	10156.150:dié
㑚	10154.070:nuó
㑛	10157.040:sù
㑜	10156.130:yì,chì
㑞	10166.030:yìng
㑟	10163.020:běng
㑣	10172.010:lán
㑥	10178.010:yì
㑦	10184.080:lì
㑮	10195.090:hún
㑯	10188.050:xǔ
㑳	10204.060:zhòu,zhū
㑶	10203.080:xì
㑸	10201.020:yáo
㑻	10215.050:mà
㑼	10211.020:lüè
㑾	10213.050:yáo
㑿	10215.110:zhào
㒀	10214.090:zhāi,zhǎ
㒁	10211.030:yǔ
㒂	10223.130:zhuó
㒄	10220.130:rǎn
㒅	10221.030:qǐ
㒇	10220.020:wǔ
㒈	10216.130:hàn
㒊	10232.080:sè
㒍	10223.040:léi
㒎	10220.030:sà
㒑	10224.090:kuǐ,huì
㒓	10217.020:tà
㒔	10225.090:shú,dú,tù
㒕	10228.010:yāng
㒙	10232.100:mián
㒚	10231.080:yìn,wěn
㒛	10232.070:diào
㒜	10231.040:yǔ
㒝	10233.010:miè,wà
㒟	10236.140:niǎo
㒠	10236.080:xiè
㒡	10237.110:yóu
㒤	10238.070:chè
㒥	10238.090:fēng
㒦	10238.100:lěi,lèi
㒴	10129.040:gǔ
㒸	10248.050:suì
㒼	10101.030:mán
㒽	21519.060:quān
㒾	21526.050:shì
㒿	21542.110:lí
㓃	10305.070:dù
㓄	10389.160:zhèn
㓅	10295.030:tīng
㓈	10295.130:bìng
㓉	10297.070:huò
㓊	10297.040:dòng
㓋	10297.010:gòng
㓌	10297.090:chēng
㓎	10297.260:qīn,qìn,qǐn
㓏	10297.220:jiǒng
㓐	10298.020:lù
㓑	10298.040:xìng
㓓	10299.190:nán
