㑇	1506.160:zhòu
㑌	0659.100:kuāng
㑩	0750.060:luó
㑳	1506.161:zhòu
㒓	1107.091:tà
㓦	0019.070:bāi
㔉	1512.080:zhǔ
㔚	0576.140:jié
㕑	0158.022:chú
㕜	1044.030:shǐ
㕠	1073.082:shuāng
㕶	0811.021:ň 0826.021:ňg
㖊	1315.030:xún
㖞	1177.080:wāi
㗄	0653.080:kū
㗏	1177.070:wāi
㗑	0027.030:bai
㘄	0687.080:lēng
㘆	1110.022:tǎi
㘎	0439.080:hǎn
㘗	0943.020:qū
㘥	1400.070:yóu
㘭	0012.131:ào
㘱	1112.061:tān
㘵	0096.020:bù
㙘	1339.050:yāo
㙟	0675.080:lǎng
㙦	1275.040:xié
㚁	0922.052:qiào
㚢	0840.080:nú
㚻	0520.120:jī
㛃	0576.050:jié
㝃	0786.051:miǎn
㝡	1548.030:zuì
㝿	0085.010:bǒ
㞎	0018.020:bǎ
㞗	0941.040:qiú
㞘	0265.090:dū
㞞	1092.070*,1092.071:sóng
㟂	0806.030:mǔ
㟖	0733.080:lòng
㟤	0740.060:lù
㟷	0203.040:da
㠄	1233.051:xí
㠯	1364.030:yǐ
㠾	1419.070:yuān
㡑	0920.071:qiāo
㡓	0663.201:kūn
㡠	1478.011:zhèng
㡡	0159.030:chú
㡧	1478.010:zhèng
㤅	0004.090:ài
㤘	1506.150:zhòu
㤥	0437.020:hài
㥏	1138.100:tiǎn
㥦	0924.052:qiè
㥮	1506.151:zhòu
㥵	0508.061:hùn
㧀	0527.020:jí
㧏	0360.060:gāng
㧐	1092.100:sǒng
㧑	0500.030,0500.031*:huī
㧟	0656.080:kuǎi
㨄	1505.010:zhōu
㨗	0580.031:jié
㨘	1292.011:xǐng
㨪	0498.031:huàng
㩋	1265.040*,1265.041:xiāo
㩐	0225.051:dèn
㩙	0981.091:sāi
㩟	1450.060:zhài
㩳	1092.101:sǒng
㪍	0083.011:bó
㪺	0611.100:jū
㫰	0676.060:làng
㬉	0842.073:nuǎn
㬊	0491.070:huàn
㬎	1249.010:xiǎn
㬟	0322.060:fēn
㬤	0894.090:qī
㭎	0360.050:gāng
㮣	0352.071:gài
㮾	0675.090:lǎng
㯭	0737.091:lǔ
㯳	0935.041:qíng
㰍	0732.052:lóng
㱃	1379.020:yǐn
㲄	0618.121:jué
㲓	0969.012:róng
㲲	0251.180:dié
㳂	1327.041:yán 1333.051:yàn
㳇	0342.010:fù
㳠	1107.060:tà
㴩	1391.140:yōng
㵐	0618.140:jué
㵲	1220.022:wǔ
㶁	0426.070:guó
㶉	1229.070:xī
㶑	0705.051:liàn
㶟	0686.060:lěi
㷟	1169.011:tuì
㹎	0685.110:léi
㹢	0541.120:jiā
㹭	1371.120:yì
㺀	0472.040:hū
㺄	1413.120:yǔ
㺅	0467.020:hóu
㺢	0515.040:huò
㻫	0059.051:bì
㼈	0749.020*,0749.021:luó
㽁	0697.062:lì
㽏	0359.060:gàn
㽘	0362.030:gǎng
㾹	0116.021:chái
䀇	0397.070:gǔ
䀉	0921.061:qiáo
䀌	1236.060:xì
䀦	0397.020:gǔ
䁖	0733.100:lōu
䂫	0442.011:hāng
䃅	0229.040:dī
䃉	0792.012:mín
䃎	1448.180:zhà
䃘	0645.092:kēng
䃠	1307.071:xuàn
䃰	0098.010:cā
䄍	1448.191:zhà
䄻	1122.020:táo
䅟	0104.050:cǎn
䇭	0682.020:lǎo
䇲	0110.010:cè 0540.010:jiā
䇽	1464.040:zhé
䈎	1348.063:yè
䉬	0317.010*,0317.011:fèi
䉲	0781.061:mí
䉵	1521.011:zhuàn 1547.031:zuǎn
䊪	0697.152:lì
䋎	1454.020:zhàn
䌈	1106.090:tā
䌥	1382.040:yǐn
䌷	0152.010:chōu 0153.061:chóu
䌹	0604.150:jiǒng
䍉	1450.040:zhǎi
䍡	0738.040:lù
䎱	0019.021:bà
䏝	1518.020:zhuān
䏿	0899.020:qǐ
䐛	0189.020:dā
䑲	1460.062:zhào
䑽	1107.150:tà
䒣	0955.021:rǎn
䒷	0402.100:guā
䒿	0710.090:liáo
䓖	0938.010:qióng
䓨	1385.030:yīng
䔛	0936.042:qǐng
䕭	0914.042:qián
䕷	0780.080:mí
䖏	0160.102:chǔ 0161.112:chù
䖮	1259.020:xiǎng
䖳	1448.140:zhà
䗖	0239.030:dì
