㐀	丘
㐅	五kMatthews
㐫	凶
㐮	襄
㐯	庸
㐱	鬒kMatthews
㐴	攀
㐵	儒
㑁	𠭴
㑄	侮kMatthews
㑌	尩kMatthews
㑝	𢙱kMeyerWempe
㒇	儛kMatthews
㒋	廝kMatthews 厮kMatthews
㒚	穩kFenn,kMatthews
㒞	儶kMatthews
㒰	全kMatthews
㒲	財kMatthews
㒷	興kLau,kMatthews
㓁	网kMatthews
㓮	彫kLau,kMatthews 雕kLau,kMatthews
㓷	劓kMatthews
㓸	斲kMatthews
㔍	䥷kMatthews
㔱	斞kMatthews
㔾	卩kMatthews
㕑	𢊍kLau 厨kLau
㕚	爪kMatthews 爫kMatthews
㕞	刷kMatthews
㗖	啖kMatthews 噉kMatthews 啗kMatthews
㗳	嗒kLau
㘅	銜kMeyerWempe 啣kFenn
㙮	塔kMeyerWempe
㙳	轗kMeyerWempe
㚝	奞kMatthews 奎kMatthews
㚣	姣kMatthews
㛛	娠kMatthews
㝃	娩kMeyerWempe
㝛	宿kMatthews
㝵	礙kMatthews 碍kMatthews
㞐	居kMatthews
㟗	邠kMatthews 豳kMatthews
㠊	嶇kMatthews,kMeyerWempe
㠯	以kFenn
㠶	帆kMatthews
㡘	𢅏
㡿	斥kMatthews
㣶	邅kMeyerWempe
㣺	心kMatthews
㣼	忍kMatthews
㤒	笨kFenn
㤵	慈kFenn
㥃	悶kMatthews,kMeyerWempe 懣kMatthews
㥵	慁kMatthews
㦧	憯kMeyerWempe
㧃	收kMatthews
㧖	扼kMatthews 搤kMatthews
㧜	擸kMatthews
㨉	抿kMatthews
㨨	㩅kMeyerWempe
㨼	撂kFenn
㩁	搉kMatthews
㩅	㨨kMeyerWempe
㩜	攬kMeyerWempe 擥kMeyerWempe
㩹	𢶣kMatthews
㪅	更kMatthews
㪯	舉
㫃	偃kMatthews
㫎	幑kHanYu:T 𣄈kHanYu:T
㫚	昒kHanYu
㬅	曼kMatthews
㬱	朁kMatthews
㬹	踭kMeyerWempe
㭨	椰kLau,kMatthews,kMeyerWempe
㮣	槩kMatthews 槪kMatthews
㯃	漆kMatthews 桼kMatthews
㯭	樐kMatthews 櫓kMatthews
㯶	棕kFenn
㯽	檳kMatthews,kMeyerWempe
㰍	櫳kMatthews,kMeyerWempe
㱿	殼kMatthews 壳kMatthews
㲒	勽kMathews,kMeyerWempe
㲓	毧kMatthews
㳄	涎kMatthews
㴑	溯kMatthews
㴔	潝kMatthews
㵒	沸kFenn
㷉	熨kMatthews
㷠	燐kMatthews 粦kMatthews
㷻	煳kMatthews
㽣	域kMatthews
㽽	痼kMeyerWempe
㾙	脪kMatthews
㿟	皦kFenn 皎kMatthews
㿷	糙kMatthews,kMeyerWempe
䀋	鹽kLau
䀠	瞿kMatthews
䀢	瞬kMatthews
䀹	睫kMatthews
䂀	𥋟
䂫	夯kFenn
䃉	珉kMatthews
䃘	硜kMatthews
䄃	殃kMatthews
䄍	蜡kMeyerWempe
䄯	𢆞kFenn
䄺	稊kMeyerWempe
䆋	秋kMatthews
䆔	竉kMeyerWempe
䆫	窓kMeyerWempe 窗kMeyerWempe
䈇	罩kLau,kMatthews
䉵	饌kMatthews 籑kMatthews
䊜	糰kFenn
䋲	繩kMeyerWempe
䌥	縯kFenn
䌫	纜kMeyerWempe
䏕	飪kMatthews
䐰	饈kMatthews
䒒	苕kMatthews
䔛	檾kFenn
䕌	稚kMatthews
䖈	虐kHanYu
䖍	虔kMatthews
䖏	処kFenn 處kMatthews
䖟	蝱kMatthews
䖣	蚤kLau,kMatthews
䖵	蜫kMatthews
䘑	脉kMeyerWempe
䘚	卒kLau,kMatthews
䘺	綻kFenn
䙝	褻kLau,kMatthews 褺kMatthews
䚎	𥅾kMeyerWempe
䛡	話kMatthews
䛻	誘kMatthews
䛼	譭kMatthews,kMeyerWempe
䜊	嘈kMatthews,kMeyerWempe
䜶	豇kMatthews
䝋	豵kMatthews,kMeyerWempe
䝜	狻kMeyerWempe
䝤	獠kMeyerWempe
䞓	赬kMeyerWempe
䠱	躅kMatthews
䢙	敗kMatthews
䣩	醇kLau,kMatthews,kMeyerWempe
䤍	𨢥
䥀	捵kFenn
䥨	鑢kMatthews,kMeyerWempe
䥷	㔍kMatthews
䦓	覘kMeyerWempe 𦕒kMeyerWempe
䨘	霰kMatthews,kMeyerWempe
䩞	韂kMatthews
䪊	龓kMatthews
䪿	囟kMatthews
䬒	颼kMatthews,kMeyerWempe
䬡	翥kMatthews,kMeyerWempe
䭾	馱kFenn
䯌	尻kMatthews
䯻	髻kLau
䰗	鬮kFenn
䱇	鱓kMatthews
䱷	漁kMatthews
䱽	鯧kLau,kMatthews,kMeyerWempe
䴹	餜kMatthews
䵑	䵒kMatthews
䵒	䵑kMatthews
䶏	涕kMatthews
一	弌kLau,kMatthews,kMeyerWempe 壹kLau,kMatthews,kMeyerWempe
七	柒kLau,kMatthews,kMeyerWempe
万	卍kFenn 萬kLau,kMatthews,kMeyerWempe
三	叁kLau,kMatthews,kMeyerWempe
与	與kMatthews,kMeyerWempe
丐	匃kMatthews
丘	㐀 坵kMatthews
东	東kFenn
丟	丢kHKGlyph,kMatthews
両	兩kMatthews 两kFenn
丢	丟kHKGlyph,kMatthews
两	両kFenn 兩kLau,kMatthews,kMeyerWempe
並	幷kMatthews,kMeyerWempe 并kMatthews,kMeyerWempe 竝kMatthews
个	個kLau,kMatthews 箇kLau,kMatthews,kMeyerWempe
乃	迺kMatthews 廼kMatthews
么	幺kMatthews
义	義kFenn
乔	喬kFenn
乚	隱kMatthews
九	玖kLau,kMatthews,kMeyerWempe
乱	亂kMatthews,kMeyerWempe
亂	乱kMatthews,kMeyerWempe
予	余kFenn
争	爭kMatthews
亊	事kFenn
事	亊kFenn
二	弍kMatthews,kMeyerWempe 貳kMeyerWempe
于	扵kLau 於kLau
亏	於kMatthews 扵kMatthews
五	㐅kMatthews
亗	岁kFenn 歲kMatthews 𡻕kFenn
亝	齊kMatthews
亡	兦kLau,kMatthews 亾kFenn
亲	榛kMatthews
人	亻kMatthews
亻	人kMatthews
亼	集kLau,kMatthews
亾	亡kFenn
仇	讎kMeyerWempe 讐kLau,kMeyerWempe
从	從kMatthews
他	她kMatthews 牠kMatthews
仙	僊kLau,kMatthews
仝	同kLau,kMatthews,kMeyerWempe
仟	千kMeyerWempe 阡kFenn
以	㠯kFenn
任	仼kHKGlyph
仼	任kHKGlyph
仾	低kMatthews
仿	倣kMatthews
伀	彸kMatthews
伃	妤kMatthews,kMeyerWempe
会	會kMatthews,kMeyerWempe
伭	玄kMatthews
伱	你kMatthews
伷	冑kFenn 胄kMatthews
佇	竚kMatthews,kMeyerWempe
佋	紹kMatthews
低	仾kMatthews
佑	祐kFenn
体	體kMatthews 軆kFenn
佗	它kMatthews
余	予kFenn
你	伱kMatthews
佰	百kMatthews,kMeyerWempe
併	𠊧kFenn
侁	駪kMatthews,kMeyerWempe 詵kMeyerWempe
侂	託kMatthews
侅	賅kMatthews,kMeyerWempe
來	来kMeyerWempe
侎	敉kMatthews
侖	崙kFenn
侚	殉kMatthews 狥kMatthews
侣	侶kMatthews
侮	㑄kMatthews
侶	侣kMatthews
俈	嚳kMatthews
俓	徑kMatthews,kMeyerWempe
俞	兪kMatthews,kMeyerWempe
俟	竢kMatthews,kMeyerWempe
俯	頫kMatthews
俻	備kMatthews,kMeyerWempe
倈	徠kLau,kMatthews 勑kLau
個	个kLau,kMatthews 箇kLau,kMatthews
倏	倐kFenn
倐	倏kFenn
倖	幸kFenn
倘	儻kLau,kMatthews,kMeyerWempe
倣	仿kMatthews
値	值kLau,kMatthews
值	値kLau,kMatthews
偁	穪kMatthews 稱kMatthews
偃	㫃kMatthews
偊	踽kMatthews,kMeyerWempe
偐	贋kMatthews 贗kMatthews
偒	蕩
健	徤kFenn
偪	逼kMatthews,kMeyerWempe
偷	偸kLau
偸	偷kLau
偺	昝kMatthews 咱kFenn
