㐀	一卝
㐁	一人口
㐂	乚乚乚七七七
㐃	㐃
㐄	㐄
㐅	㐅
㐆	㐆
㐇	乙九
㐈	乙入
㐉	一乙亅丁
㐊	乙士
㐋	乙土
㐌	也𠂉
㐍	乙爫
㐎	乙文
㐏	一乙𫝀五
㐐	乙又女奴
㐑	乙夂冬
㐒	乙刀口召
㐓	一乙亅口丁可
㐔	乙亠口
㐕	乙由
㐖	乚口士吉
㐗	乙老
㐘	乙米
㐙	乙豆
㐚	一乙口𫝀五吾
㐛	乙亻口𠂇佑右
㐜	丶九求
㐝	乙勹口扌句拘
㐞	乙八其
㐟	乙非
㐠	乙乚子爫乳孚
㐡	九大而耎
㐢	乙子氵爫孚浮
㐣	乙广車庫
㐤	九八十具真
㐥	且乙力金助鋤
㐦	⺕一一乙八手与擧與𦥑
㐧	㐧
㐨	乛乛亅亅龴龴予予
㐩	井井
㐪	亠
㐫	丿乀亠凵乂凶
㐬	一厶𠫓
㐭	亠口囗回
㐮	一井亠八𧘇𠀎
㐯	亠口口香吕
㐰	亻口
㐱	彡𠆢
㐲	亻大
㐳	一亻儿兀
㐴	亻夕
㐵	于亻
㐶	亻巳
㐷	亻马
㐸	亻欠
㐹	亻气
㐺	人亻亻𠆧
㐻	亻入冂內
㐼	丿亻廾升
㐽	亻风
㐾	二亻儿元
㐿	亻手
㑀	丶亻大太
㑁	亻凵屮出
㑂	一人亻冂丙内
㑃	亻力幺幼
㑄	亻母
㑅	⺊一亻𠂉上
㑆	亻儿口兄
㑇	⺈⺕亻刍
㑈	东亻
㑉	⺄一丿亻夕夙𠘨
㑊	亠亻亦
㑋	亻曲
㑌	亻匚王匡
㑍	亻耒
㑎	亻山巛
㑏	亻宀寸守
㑐	⺊一亻小上尗
㑑	亻自
㑒	一𠆢
㑓	亻厶又𠂇友
㑔	亻页
㑕	亻夕山岁
㑖	丨亻亻口中仲
㑗	亻身
㑘	亻廾戈戒
㑙	乚亻耳耴
㑚	亻阝𠃌那
㑛	亻束
㑜	亻扌斤折
㑝	亻廾王弄
㑞	亻廾火灷
㑟	丘亻八兵
㑠	〢亻又土坚
㑡	亻卩即
㑢	亻卩厶土却去
㑣	亻木木林
㑤	亻田艹苗
㑥	丿丿亻勹日勿易
㑦	亻户犬戾
㑧	亻子禾季
㑨	亻口矢
㑩	亻夕罒罗
㑪	亻文斉
㑫	一亻心𠆢亼今念
㑬	亻十口女古姑
㑭	一亻田丌畀
㑮	亻冖車軍
㑯	亻頁
