H1.0001-H1.0002	一
H1.0115-H1.0116	二
H1.0141	丁
H1.0147	七
H1.0170	三
H1.0257-H1.0258	于
H1.0260-H1.0262	上
H1.0299	才
H1.0306-H1.0308	下
H1.0333	丌
H1.0333	丈
H1.0335	万
H1.0335-H1.0336	井
H1.0341	丐
H1.0342-H1.0343	五
H1.0394	丏
H1.0394	不
H1.0483	丑
H1.0483-H1.0484	屯
H1.0489	互
H1.0491	丕
H1.0493-H1.0494	世
H1.0506-H1.0507	且
H1.0509	丙
H1.0510-H1.0511	丘
H1.0524-H1.0515	亙
H1.0515-H1.0516	再
H1.0520	吏
H1.0524	丞
H1.0524-H1.0525	甫
H1.0525-H1.0526	更
H1.0533-H1.0534	表
H1.0541-H1.0542	亞
H1.0544-H1.0545	事
H1.0554-H1.0555	兩
H1.0572	甚
H1.0574	奡
H1.0574	㽎
H1.0574-H1.0575	爾
H1.0576	丫
H1.0577-H1.0578	丰
H1.0579-H1.0580	中
H1.0622	丱
H1.0623	串
H1.0626	乂
H1.0626-H1.0627	乃
H1.0628	乇
H1.0628	川
H1.0631	久
H1.0635	及
H1.0637-H1.0638	升
H1.0643	爻
H1.0644	乏
H1.0645-H1.0646	乍
H1.0646-H1.0647	乎
H1.0647-H1.0648	年
H1.0657	乒
H1.0657	甪
H1.0658	乖
H1.0664	𧺆
H1.0664	禹
H1.0666	胤
H1.0666-H1.0667	乘
H1.0675	睾
H1.0675	丸
H1.0676-H1.0677	之
H1.0678-H1.0679	丹
H1.0693-H1.0694	主
H1.0707	半
H1.0717	州
H1.0719-H1.0720	乙
H1.0721-H1.0722	了
H1.0726-H1.0727	九
H1.0759	乜
H1.0760	乞
H1.0765-H1.0766	也
H1.0767-H1.0768	卍
H1.0768	予
H1.0770	乣
H1.0770	乩
H1.0770	甬
H1.0770-H1.0771	承
H1.0778	亟
H1.0778-H1.0779	乳
H1.0784	𠃸
H1.0784-H1.0785	乾
H1.0797	亄
H1.0797-H1.0798	亂
H1.0804	十
H1.0830-H1.0831	千
H1.0848	廿
H1.0848	卉
