a00001	一
a00001-001	𠤪
a00001-002	弌
a00001-003	
a00001-004	
a00001-005	壹
a00002	丁
a00002-001	𠆤
a00003	七
a00003-001	
a00003-002	柒
a00004	三
a00004-001	弎
a00004-001-1	參
a00004-001-2	叁
a00004-006	
a00004-006-1	叄
a00005	下
a00005-001	丅
a00005-002	𠄟
a00006	丈
a00006-001	𠀋
a00006-002	
a00006-003	支
a00007	上
a00007-001	丄
a00007-002	二
a00008	丑
a00008-001	𠃠
a00008-002	
a00008-003	丒
a00008-005	
a00008-006	
a00009	丐
a00009-001	匄
a00009-002	匃
a00009-003	𠣣
a00009-004	
a00009-005	
a00009-006	
a00009-007	𠣏
a00010	不
a00010-001	𠀚
a00010-002	𠙐
a00010-003	
a00010-007	
a00010-008	
a00010-009	
a00010-010	
a00010-013	
a00010-015	
a00010-018	
a00010-019	
a00010-020	
a00010-021	㐬
a00010-023	
a00011	丙
a00011-001	
a00011-002	
a00012	世
a00012-001	丗
a00012-002	卋
a00012-003	㔺
a00012-004	𠦔
a00012-005	
a00012-006	芔
a00012-007	
a00012-008	
a00012-009	
a00012-010	
a00012-012	
a00012-014	
a00012-015	
a00012-017	
a00012-018	
a00012-019	
a00012-020	
a00012-021	
a00012-024	
a00013	丕
a00013-001	㔻
a00013-002	𠦓
a00013-003	
a00013-004	
a00013-005	
a00013-006	㶨
a00014	且
a00014-001	𠀃
a00014-002	𠀇
a00014-003	𣅂
a00015	丘
a00015-001	𠀈
a00015-002	㐀
a00015-003	丠
a00015-004	𠤢
a00015-005	㘳
a00015-006	𡊣
a00015-007	𤤘
a00015-008	𠀉
a00015-009	
a00015-010	
a00015-011	业
a00015-011-1	坵
a00015-011-2	
a00015-013	
a00015-014	
a00016	丞
a00016-001	㞼
a00016-002	
a00016-003	
a00016-004	
a00016-005	
a00016-006	
a00016-007	
a00016-008	
a00016-009	
a00016-010	
a00016-010a	
a00016-010b	
a00016-010c	
a00017	丟
a00017-001	丢
a00018	並
a00018-001-1	𡘋
a00018-002	傡
a00018-003	竝
a00018-004	
a00018-006	
a00019	丫
a00019-002	椏
a00019-003	亞
a00020	中
a00020-001	𠁦
a00020-002	𠁧
a00020-003	𠁩
a00020-004	𠔗
a00020-005	𠔈
a00020-006	
a00020-007	
a00020-008	
a00020-009	
a00020-012	
a00021	串
a00021-001	
a00022	丸
a00022-001	丸
a00022-002	𠁽
a00022-003	
a00023	凡
a00023-001	凢
a00023-002-1	凣
a00023-003	
a00023-004	
a00023-005	
a00023-007	
a00023-008	
a00024	丹
a00024-001	𠁿
a00024-002	𠕑
a00024-003	㣋
a00024-004	
a00024-005	𢒈
a00024-006	
a00024-007	
a00024-008	
a00024-009	
a00024-010	
a00024-011	
a00024-012	
a00024-013	
a00025	主
a00025-001	
a00025-002	
a00026	乃
a00026-001	𠄕
a00026-002	𠚝
a00026-003	𠧤
a00026-004	𢎧
a00026-005	𢏩
a00026-006	弓
a00026-007	𠄎
a00026-008	
a00026-009	
a00026-016	
a00026-017	
a00026-018	廼
a00027	久
a00027-001	乆
a00027-002	镹
a00027-003	
a00028	么
a00028-001	幺
a00029	之
a00029-001	㞢
a00029-002	𡳿
a00029-003	𠔇
a00029-004	
a00029-005	
a00029-007-1	
a00029-012	
a00029-013	
a00029-014	
a00029-015	
a00029-017	
a00029-018-1	
a00029-018-2	
a00030	尹
a00030-001	𢁨
a00030-002	𢂫
a00030-003	𢂟
a00030-004	𢂬
a00030-005	
a00030-007	
a00030-008	𢃂
a00030-009	𢃁
a00030-011	
a00030-012	𢃹
a00030-013	
a00030-014	𢃵
a00031	乍
a00031-001	𠆦
a00031-002	
a00032	乏
a00032-001	𠂜
a00032-002	𠓟
a00032-003	𣥄
a00032-005	
a00032-006	
a00032-007	
a00032-008	
a00033	乎
a00033-001	𠂞
a00033-002	
a00033-003	𠂠
a00033-004	
a00033-006	虖
a00034	乒
a00035	乓
a00036	乖
a00036-001	𠂯
a00036-002	𦭅
a00036-003	𦮃
a00036-004	
a00036-005	
a00036-006	
a00036-007	
a00036-008-1	
a00036-008-2	
